"Title","Location","Category","Tags","Description"
"RA CAMPING","Bison - North, grid square O21","Party/Gathering","","We are Sound Camp RA and will host a "" closing build week party"" on Monday. We obey the sun god RA and his fight during the night so we all get to have a new morning sunrise. We play weird ravy shit."
"Lisboetta","Bison - South, grid square O23","Party/Gathering","","Bringing some southern European vibes. Offering light music and other interactive offerings."
"Occult oasis pool parties","Sunny Hills, grid square H22","Party/Gathering","","The horizon is shimmering, the water is calling, and the blue burner creatures are stirring once more. Welcome back to the Occult Oasis. This year, we’ve distilled our dreams into two distinct, immersive day-party voyages."
"The Psycamp","grid square T28","Party/Gathering","","Your new favorite dancefloor!

Tired of boring repetetive techno? Need a place where you can truly move to the beats? A place to truly dance, be wild & free"
"🚌The Mothership","Downtown, grid square L18","Party/Gathering","","As S.O.U.N..D. map instructs, as partly funded provides and as possible to fulfill. Speakers directed SW and whole containerpark as an activity area"
"Ballroom Bliss","Lowlands, grid square Q10","Party/Gathering","","Ballroom Bliss – Disco with love! Wed - Fri 12–15, we're here spinning pure grooves next to our tipi. The free zone for all open-minded disco loving heartbreakers. Tiny dancefloor, ice-cold slushies, real vibes. No sad faces, no negativity. Not a large camp, two freecampers creating a social space!"
"Dancing Sloths","Swamp, grid square T17","Party/Gathering","","A gathering of soft explorers, building a safe space to take off and land. Day time music when suitable.
Ground for spontaneous offerings, come gather with us!"
"Psy","Lowlands, grid square S12","Party/Gathering","","A fun happy camp loving psytrance!"
"Les Fleurs","Swamp, grid square Q19","Party/Gathering","","Chill music open format and good conversations hangout. Disco, Boogie, Rare Groove, Brazilian Grooves, Reggae & Dancehall. Late night-Vocal, soulful, garage, deep, disco, HOUSE."
"Disco ball","grid square J11","Party/Gathering","","We will put a big spinning disco ball here and play the song Like and Eagle with Dennis Parker on repeat the entire week. LOUDLY!"
